BorrowerState,EmploymentStatus,EmploymentStatusDuration,LoanOriginalAmount
VA,Employed,175,6000
MA,Full-time,77,1000
VA,Self-employed,25,4000
MO,Full-time,37,10000
IL,Full-time,53,14500
CA,Full-time,158,4000
CA,Full-time,163,4000
IL,Full-time,20,2500
MN,Full-time,8,12000
MS,Employed,88,2000
FL,Full-time,6,1000
MO,Other,100,4000
CT,Employed,3,12000
NY,Employed,97,12000
IL,Employed,51,5000
WA,Employed,15,5000
CA,Employed,310,8000
NY,Employed,6,10000
FL,Employed,303,12000
NY,Employed,87,6000
GA,Employed,237,4000
KY,Employed,177,15000
NY,Employed,67,15000
TX,Employed,58,10000
NJ,Employed,32,2000
TN,Employed,94,11000
NY,Employed,163,21000
OK,Full-time,7,1500
WA,Employed,4,3800
LA,Other,0,4000
CA,Full-time,36,4000
NM,Employed,157,25000
CO,Not available,,11900
CA,Employed,58,25000
CT,Employed,60,4000
MI,Self-employed,36,4000
WV,Employed,37,15000
CA,Not employed,23,4500
FL,,,2800
FL,Employed,198,8000
CA,Employed,40,25000
CA,Full-time,5,2551
TX,Self-employed,137,3750
OR,Full-time,106,4500
TX,Employed,13,10000
VA,Self-employed,13,2700
NC,Full-time,97,7500
NJ,Employed,93,15000
MD,Employed,63,6000
NC,Not available,,9000
MD,Employed,70,2000
FL,Full-time,284,3000
NJ,Employed,196,4000
NC,Employed,53,4000
CA,Employed,93,4000
CO,Full-time,100,1580
,Not available,,5000
CT,Full-time,36,15000
FL,Employed,222,16800
NJ,Employed,151,18300
MD,Employed,313,25000
VA,Full-time,431,3500
NY,Employed,30,6000
TX,Employed,271,25000
TN,Employed,20,15000
FL,Employed,104,3500
NM,Employed,42,1500
OH,Full-time,154,3500
CA,Employed,348,6000
,Self-employed,9,7000
KY,Full-time,1,2000
CA,Employed,16,12600
CA,Self-employed,94,10000
GA,Employed,61,2000
IN,Employed,177,4000
FL,Employed,80,15000
PA,Employed,13,10000
TN,Employed,244,10000
MI,Full-time,84,6000
WV,Employed,30,7500
GA,Full-time,14,1500
FL,Other,0,4000
OK,Employed,193,4000
TN,Employed,24,23000
NY,Full-time,268,2100
,,,1000
PA,Full-time,40,1250
CO,Employed,68,10000
VA,Employed,12,5000
NM,Employed,352,8500
NY,Self-employed,203,15000
CA,Full-time,2,6000
,Full-time,217,25000
IL,Employed,103,2500
MA,Employed,28,15000
OH,Retired,172,7400
NY,Full-time,99,3000
IL,Part-time,9,2500
NC,Full-time,109,3000
MN,Full-time,31,25000
TN,Employed,150,15000
DE,Full-time,3,3500
OH,Employed,163,4000
NC,Employed,143,2000
KY,Employed,130,10000
NY,Employed,184,3500
MS,Employed,226,15000
CA,Employed,40,7058
WI,Employed,20,6000
WA,Employed,48,2500
PA,Employed,212,7000
OH,Employed,87,13000
,Full-time,17,2500
UT,Employed,142,21000
NV,Employed,211,20000
FL,Employed,153,10000
OH,Employed,50,11500
CA,Not employed,48,15000
AR,Employed,309,8500
FL,Employed,70,8000
IL,Full-time,422,10200
,,,4000
NY,Employed,132,10000
OR,Full-time,237,6500
CA,Employed,333,15000
MI,Employed,29,5000
PA,Employed,409,7000
FL,Employed,41,2000
KY,Employed,29,15000
CT,Employed,60,4000
NJ,Employed,24,4000
FL,Employed,41,15000
TX,Self-employed,10,6500
CA,Full-time,265,10000
FL,Employed,78,2000
CA,Employed,56,10500
MD,Employed,51,2000
FL,Employed,124,4000
FL,Full-time,26,7500
OK,Employed,32,20000
MS,Full-time,205,4000
CA,Employed,114,35000
,Part-time,123,1000
OH,Employed,51,3000
FL,Employed,19,15000
AL,Full-time,31,6000
AL,Employed,77,12870
CA,Self-employed,11,7000
MD,Employed,415,7000
VA,Other,41,4000
GA,Full-time,123,6000
CA,Employed,74,7500
FL,Employed,68,2000
NY,Full-time,132,1000
WI,Employed,53,15000
OH,Full-time,133,3000
WI,Full-time,140,13000
OR,Self-employed,36,10000
GA,Full-time,117,10000
NY,Employed,47,3000
TX,Employed,37,18000
CA,Employed,2,21000
MS,Employed,241,9000
TN,Employed,18,7500
GA,Other,201,12500
CA,Employed,131,3600
SC,Full-time,86,4500
TX,Employed,56,6000
MS,Other,1,2500
WA,Full-time,67,6000
TX,Employed,170,15000
GA,Employed,115,15000
,,,3001
FL,Employed,81,12500
WI,Employed,58,6000
CA,Self-employed,132,5000
IL,Full-time,20,2000
NJ,Employed,76,9000
TX,Employed,11,10000
CA,Employed,57,15000
CA,Employed,14,13500
WA,Employed,47,12000
DC,Full-time,4,1500
VA,Employed,230,20000
OR,Employed,4,7798
SC,Employed,309,10000
NC,Employed,23,7000
WA,Employed,123,10000
IL,Not employed,0,6500
NY,Employed,32,18000
FL,Employed,2,10000
NM,Employed,17,4000
MD,Full-time,22,7000
TN,Employed,30,3000
FL,Full-time,86,10000
MN,Full-time,335,4000
OK,Employed,339,7000
WA,Employed,51,25000
CA,Employed,370,10000
NC,Employed,43,3000
IL,Full-time,10,13000
AR,Retired,85,5000
OH,Employed,114,10000
CA,Employed,4,5000
IN,Employed,203,20000
IN,Self-employed,144,10000
,,,6001
NH,Employed,221,7500
NC,Employed,1,3500
PA,Employed,6,15000
WA,Employed,238,5000
ID,Full-time,72,12000
WV,Part-time,27,1500
TX,Employed,165,20000
TX,Employed,10,4000
,Not available,,7700
NY,Employed,52,4000
CA,Employed,192,15000
NC,Full-time,262,5000
NY,Employed,80,15000
NY,Self-employed,35,2500
WA,Employed,63,10000
MN,Other,398,15000
MD,Employed,79,12500
TX,Employed,4,13000
WA,Employed,51,25000
TN,Employed,186,2650
MI,Employed,99,5300
OR,Employed,71,10000
IL,Full-time,152,7500
WI,Self-employed,5,10000
NJ,Employed,84,8830
MI,Employed,1,4000
CA,Other,117,20000
TX,Employed,29,10000
NY,Other,86,15000
KS,Full-time,18,2500
MI,Employed,78,3000
,,,10000
AL,Employed,208,3000
OH,Full-time,83,2500
NY,Employed,196,2000
TX,Full-time,3,1500
IL,Employed,121,10000
CA,Not available,,3000
WA,Full-time,16,5733
GA,Full-time,164,4000
FL,Employed,33,8000
FL,Employed,169,9000
OH,Self-employed,241,10000
TX,Employed,289,19000
,,,3000
NY,Employed,342,7500
NY,Employed,37,2500
CA,Other,0,4000
VA,Full-time,91,1200
FL,Employed,10,3500
FL,Employed,142,4000
AL,Full-time,228,7000
MD,Employed,47,5000
,Not available,,2500
MA,Employed,32,2000
OK,Full-time,13,3000
AL,Full-time,60,6700
PA,Retired,90,10000
VA,Self-employed,113,7500
AK,Employed,30,25000
OH,Full-time,3,1100
AL,Employed,159,15000
,Not available,,3500
GA,Other,75,15000
,Full-time,89,1000
FL,Employed,8,10000
OH,Full-time,20,9999
IL,Full-time,156,9000
GA,Employed,110,6000
VA,Employed,329,4000
CA,Employed,177,2000
NJ,Employed,71,3500
CA,Self-employed,166,2000
OK,Employed,34,8000
SC,Employed,11,15000
,,,5000
VA,Employed,42,3000
WA,Employed,62,2000
SD,Employed,117,15000
PA,Employed,106,6000
OH,Employed,236,4000
FL,Not employed,34,15000
CA,Self-employed,329,4999
NC,Employed,225,6200
FL,Retired,81,2500
GA,Employed,49,15000
CA,Employed,82,4000
TN,Employed,35,10000
WA,Employed,159,4000
MI,Self-employed,46,10000
NM,Other,33,5500
OH,Employed,366,9000
NY,Employed,34,15000
KS,Employed,26,15000
NJ,Employed,65,35000
FL,Employed,1,10000
MD,Employed,370,15000
CA,Self-employed,148,15000
MI,Employed,2,7500
WI,Self-employed,89,7500
CA,Employed,184,2000
WA,Employed,167,5000
CA,Employed,93,2000
MD,Full-time,15,9999
NY,Employed,216,5000
IL,Employed,20,10000
FL,Employed,21,9000
OH,Employed,5,14000
IN,Full-time,5,7000
DE,Employed,35,18000
NY,Employed,174,8000
CA,Employed,4,8000
TX,Employed,130,4000
GA,Employed,31,15000
TN,Employed,97,10000
DC,Other,47,15000
CO,Not employed,12,9500
MN,Self-employed,91,3500
OR,Employed,0,2000
TX,Employed,165,6000
FL,Employed,15,15000
FL,Employed,154,5000
WA,Employed,50,10000
CA,Full-time,98,6000
MA,Employed,144,15000
VA,Employed,89,3500
WA,Employed,15,3500
TX,Full-time,47,10000
IL,Full-time,5,1500
OH,Employed,187,20000
NJ,Part-time,41,6000
TX,Employed,19,4000
KY,Full-time,84,10000
,Not available,,3000
TN,Employed,6,4000
PA,Employed,110,4000
AZ,Full-time,88,2200
CA,Part-time,34,25000
GA,Employed,243,9000
GA,Self-employed,76,15000
FL,Employed,132,13750
NY,Full-time,155,4000
WA,Part-time,92,7000
GA,Employed,5,15000
AZ,Employed,34,6630
CO,Full-time,27,20000
MI,Full-time,79,4000
OR,Full-time,26,3000
NJ,Employed,49,15000
CA,Retired,165,2000
CA,Employed,116,6000
OK,Full-time,122,1800
SC,Self-employed,23,10000
CA,Employed,179,5500
PA,Employed,116,15000
PA,Employed,289,15000
MO,Employed,515,25000
NJ,Not employed,0,5000
CO,Employed,67,4000
AL,Employed,109,10000
CA,Employed,26,6000
PA,Employed,78,2400
FL,Employed,64,15000
GA,Not available,,3100
IL,Not available,,2200
TX,Employed,9,15000
OH,Employed,169,5000
,Not available,,19000
NJ,Full-time,29,8000
NJ,Part-time,37,5000
,,,2000
NY,Employed,147,4000
PA,Full-time,58,2500
OR,Full-time,98,2000
FL,Full-time,54,2000
GA,Employed,6,25000
NE,Self-employed,447,15000
NC,Full-time,19,3300
IL,Employed,188,11000
AR,Employed,290,8907
DC,Full-time,113,1500
AZ,Employed,39,2500
NY,,,25000
TX,Employed,33,23000
MO,Employed,0,5000
OR,Full-time,3,9600
CA,Full-time,20,10000
TX,Employed,137,19000
VA,Not employed,18,4000
VA,Employed,233,19725
VA,Employed,64,5500
IL,Full-time,17,5000
MI,Self-employed,44,10000
GA,Employed,52,2000
TX,Self-employed,66,9000
WA,Employed,121,3500
GA,Full-time,80,15000
NJ,Employed,197,25000
NJ,Employed,4,15000
OK,Employed,69,16000
CA,Part-time,51,2600
CA,Employed,7,20000
CA,Employed,376,13000
CA,Self-employed,64,15000
,Not available,,6001
NC,Full-time,147,10000
MO,Employed,28,15000
TX,Employed,57,15000
TX,Full-time,4,10000
FL,Full-time,9,1000
CT,Full-time,118,2500
OH,Full-time,27,2000
CA,Employed,131,5000
OR,Self-employed,43,15000
IL,Full-time,15,1900
WA,Full-time,9,1000
MD,Employed,423,15000
,,,1000
CA,Full-time,87,2000
MO,Employed,345,5000
FL,Employed,11,6500
FL,Employed,165,21000
,Full-time,1,5000
IN,Full-time,13,4150
OH,Self-employed,249,7000
NY,Employed,121,7500
WI,Employed,33,3927
,Not available,,13000
NH,Full-time,24,11000
TN,Employed,164,15000
MT,Full-time,61,7000
AZ,Not available,,2500
PA,Employed,18,15000
MN,Full-time,155,8500
MN,Employed,19,15000
ID,Not available,,5000
HI,Other,0,7500
TN,Full-time,134,12000
KY,Employed,90,15000
TN,Employed,35,2000
AR,Employed,48,3000
WA,Employed,49,6000
CA,Employed,338,25000
IN,Employed,68,2000
CA,Full-time,262,8700
AK,Employed,147,10000
VA,Full-time,151,8000
TX,Employed,11,28000
NY,Employed,273,8000
CA,Full-time,18,11000
OH,Employed,316,6000
IL,Retired,172,4000
OH,Full-time,208,3000
FL,Employed,88,25000
FL,Employed,209,25000
ID,Employed,89,6000
CA,Self-employed,12,2500
IL,Employed,39,4000
MA,Other,146,4000
CA,Employed,13,15000
NY,Full-time,15,7000
NC,Employed,4,15000
IL,Employed,69,4000
FL,Full-time,58,3000
IL,Full-time,22,8000
WA,Employed,294,18000
GA,Employed,80,10000
,,,1000
IL,Full-time,7,15000
WI,Full-time,24,15000
TX,Employed,224,15000
NY,,,1000
UT,Self-employed,59,7500
CA,Employed,44,2500
FL,Employed,279,15000
MA,Employed,26,6100
NY,Employed,14,10000
IL,Employed,267,2000
AR,Employed,163,2000
OR,Full-time,92,9999
SC,Employed,137,13000
VA,Employed,29,10000
NY,Employed,6,3000
TN,Employed,149,4000
FL,Employed,227,10000
LA,Full-time,13,1000
AZ,Employed,236,13000
FL,Self-employed,82,4000
OH,Full-time,12,3500
NC,Employed,318,11500
CT,Employed,168,20000
WI,Full-time,428,4000
CO,Employed,404,20000
TX,Employed,2,3500
CA,Full-time,71,5000
FL,Self-employed,14,6000
MT,Part-time,11,1000
MI,Employed,35,10000
CA,Full-time,8,1000
IN,Employed,151,20000
FL,Employed,96,5000
KS,Employed,106,4000
CA,Employed,160,15000
NJ,Not employed,0,2000
,Not available,,25000
CA,Full-time,56,4000
TX,Full-time,50,9999
TX,Employed,113,10000
WY,Not available,,10250
AL,Employed,4,15000
CT,Employed,55,25000
FL,Employed,59,5000
,Not available,,20000
OH,Full-time,20,5000
,,,5000
GA,Not employed,181,2500
NY,Employed,89,10000
SC,Employed,77,7000
CA,Full-time,256,2950
OH,Employed,36,8500
VA,Full-time,38,7500
IN,Employed,69,7500
AL,Not available,,2500
MI,Employed,69,4000
MD,Full-time,108,24000
NE,Employed,141,5000
WA,Not available,,2500
CA,Employed,99,2500
MA,Employed,13,4000
TX,Employed,136,15000
MS,Employed,143,1000
GA,Employed,185,3000
WA,Employed,279,10000
NY,Employed,263,17500
WI,Self-employed,176,10000
NE,Full-time,8,3500
MA,Employed,44,15000
WI,Employed,121,15000
CA,Employed,26,4000
MI,Employed,156,7000
TX,Employed,86,25000
NY,Employed,312,10000
TN,Other,65,5000
TX,Employed,108,15000
PA,Employed,155,4000
MI,Self-employed,285,14500
,Not available,,5000
FL,Full-time,317,11000
IL,Employed,268,15000
NY,Employed,24,8500
GA,Employed,25,4000
CA,Not available,,10000
OR,Full-time,344,5000
NJ,Other,32,10000
WA,Self-employed,23,2000
TN,Full-time,113,2500
NV,Employed,75,15000
IL,Self-employed,9,13000
MN,Employed,45,10000
IL,Part-time,14,3000
FL,Employed,18,2000
TX,Employed,61,4000
FL,Employed,29,10000
NH,Employed,410,15000
KY,Full-time,129,2000
MS,,,1000
WA,Employed,293,21000
GA,,,11000
AL,Employed,105,4000
VA,Employed,71,9000
OH,Employed,53,4000
OH,Full-time,37,3000
CA,Employed,108,15000
AR,Employed,27,10508
CO,Self-employed,9,12000
FL,Other,209,15000
AR,Full-time,45,13500
TX,Full-time,316,2400
NY,Self-employed,151,10000
GA,Employed,13,8500
,Full-time,6,4300
WA,Full-time,35,4000
DC,Employed,233,15000
FL,Part-time,26,9500
TX,Not available,,1500
CA,Retired,134,3000
TX,Employed,43,3800
CA,Employed,129,12000
NC,Full-time,139,9500
NH,Employed,60,8500
KS,Employed,68,4000
IL,Employed,281,5000
CA,Full-time,154,7500
CA,Self-employed,359,4000
MI,Employed,336,15000
MI,Employed,127,3000
NC,Employed,13,7000
IN,Full-time,35,7450
NC,Full-time,300,2500
,Full-time,238,2100
IL,Employed,16,8500
WI,Employed,414,3500
TX,Employed,22,15000
NY,Employed,130,4000
NE,Employed,156,15000
VA,Employed,90,6500
CT,Full-time,149,2500
IN,Full-time,29,2000
,Part-time,11,1500
MI,Full-time,51,1500
TN,Employed,4,5000
CO,Employed,26,6000
NV,Employed,18,7500
CT,Employed,275,19000
TN,Employed,34,8200
CA,Full-time,7,10000
PA,Employed,118,5000
NY,Employed,190,15000
ID,Full-time,204,20000
IL,Employed,49,10000
ID,Employed,94,10000
CA,Employed,22,25000
OH,Other,168,4000
TX,Employed,146,18000
OK,Employed,108,25000
NJ,Employed,191,10000
,Not available,,6500
CA,Employed,3,2500
PA,Employed,29,2000
MO,Employed,37,10000
SC,Employed,49,34999
PA,Employed,374,15000
IL,Employed,99,2000
WI,Full-time,119,2700
GA,Employed,40,18000
WI,Self-employed,179,4000
NJ,Employed,176,15000
TN,Employed,189,13000
,Full-time,20,10000
,Full-time,13,9000
OH,Employed,90,3000
,Full-time,48,1500
GA,Employed,30,4000
NY,Employed,4,2000
AZ,Employed,62,9000
TX,Self-employed,13,15000
FL,Full-time,9,1600
PA,Employed,114,4000
LA,Employed,10,8500
FL,Employed,157,2000
NJ,Employed,468,7500
NY,Full-time,9,1000
OH,Employed,176,9500
CA,Self-employed,110,25000
CA,Employed,221,8000
CT,Employed,149,8009
MI,Full-time,193,2500
AZ,Employed,210,3378
IN,Employed,320,10000
NC,Employed,78,3500
OK,Employed,40,2000
CA,Employed,92,2000
NY,Employed,80,14000
MD,Full-time,88,3200
CT,Full-time,39,6000
MI,Employed,122,6000
VA,Employed,37,4000
CA,Employed,26,10000
GA,Self-employed,151,15000
OR,Employed,111,6000
NC,Self-employed,12,4000
VA,Employed,43,25000
CO,Employed,33,7000
,,,5000
CA,Self-employed,81,5700
IN,Employed,54,15000
IL,Full-time,10,7500
TX,Employed,54,8000
DE,Employed,178,4000
CA,Full-time,15,2800
MN,Employed,160,24000
CA,Full-time,139,1500
MO,Full-time,234,3500
OH,Employed,15,10000
NY,Employed,39,11000
MD,Employed,43,15000
NY,Employed,11,4000
GA,Employed,141,2000
SC,Full-time,196,4000
FL,Employed,38,7091
AL,Full-time,146,5000
SC,Other,290,4000
,Not available,,5000
MO,Employed,41,4000
NJ,Employed,7,6000
,Full-time,44,25000
FL,Full-time,71,25000
MI,Other,0,2000
IL,Employed,165,25000
KY,Employed,128,13000
CA,Full-time,39,2000
IL,Full-time,132,4000
TX,Employed,193,4000
GA,Full-time,313,5000
VA,Employed,305,17500
OH,Employed,228,2000
CA,Other,0,4000
TX,Retired,97,2000
ID,Employed,46,15000
KS,Self-employed,71,8000
NY,Employed,19,15000
OR,Full-time,191,2000
FL,Full-time,147,4000
VA,Employed,98,15000
OR,Full-time,8,2500
MD,Employed,140,25000
NM,Self-employed,127,10000
NH,Employed,0,2500
RI,Employed,311,20000
CA,Employed,53,5000
NJ,Employed,0,4500
CA,Employed,193,4500
CA,Employed,74,6000
FL,Employed,18,2500
NY,Employed,154,7000
IN,Employed,118,7500
MA,Employed,34,2000
NY,Employed,124,35000
NC,Full-time,22,6000
CA,Employed,59,14586
TX,Full-time,120,7500
FL,Not employed,16,2000
OH,Full-time,6,2500
MO,Full-time,103,3000
OH,Employed,80,13000
,Full-time,0,3800
OK,Full-time,69,13000
,Not available,,12000
IL,Employed,78,15000
TX,Employed,19,2000
PA,Employed,72,2200
,Full-time,64,15000
TN,Full-time,11,7500
FL,Employed,87,7000
CA,Employed,79,2500
CA,Full-time,168,3500
,Not available,,9000
TX,,,1000
WA,Employed,50,5000
WI,Employed,45,7000
CA,Full-time,117,5000
NE,Employed,66,12500
DE,Employed,138,12000
KY,Full-time,54,5000
TN,Other,79,20000
MD,Employed,132,18000
WV,Employed,45,2500
CA,Full-time,145,6500
AZ,Employed,31,8500
IL,Employed,144,25000
MO,Employed,392,4000
OK,Employed,5,2000
GA,Employed,119,7500
,Not available,,6060
TN,Employed,143,25000
IL,Full-time,176,2500
CA,Full-time,26,12000
AZ,Employed,277,4000
CA,Employed,122,2000
OH,Employed,20,20000
FL,Employed,55,8500
GA,Employed,27,15000
NM,Full-time,336,2800
OH,Employed,9,5000
OH,Employed,129,16000
MA,Employed,19,25000
FL,Full-time,5,9000
GA,Employed,73,2200
NJ,Full-time,17,6000
CA,Other,0,10000
FL,Employed,10,15000
NJ,Employed,131,7000
,Not available,,1200
CA,Full-time,45,5000
NJ,Part-time,91,3000
GA,Full-time,353,5000
CA,Employed,7,9500
PA,Employed,84,8000
NM,Full-time,101,4500
WI,Employed,228,15000
CA,Self-employed,24,1000
CT,Full-time,52,8000
IN,Employed,318,4000
GA,Employed,74,2000
WA,Employed,134,2000
MN,Employed,92,10000
TX,Not employed,27,7000
OH,Employed,179,10000
NC,Employed,6,7500
VA,Self-employed,130,2400
WA,Employed,61,4000
UT,Full-time,3,15000
WA,Employed,65,15000
NC,Employed,49,11500
KY,Employed,12,3000
TX,Full-time,201,15000
NY,Employed,198,4000
,,,2780
,Part-time,70,6500
SD,Employed,180,4000
CA,Employed,64,15000
FL,Employed,159,10000
AL,Full-time,160,2500
WA,Employed,4,2000
OH,Self-employed,130,15000
MA,Other,0,6000
IL,Full-time,37,3000
OH,Full-time,56,3000
MD,Full-time,36,6500
TX,,,1500
PA,Employed,4,5000
MD,Full-time,18,8000
AZ,Employed,39,4000
NE,Full-time,92,10000
CT,Employed,79,4000
GA,Self-employed,39,3000
,,,4000
TX,Employed,110,2500
TX,Employed,73,4000
IL,Full-time,40,1500
WI,Full-time,5,4250
IL,Employed,185,10000
KY,Employed,114,7000
MO,Employed,46,20000
WA,Employed,120,10000
CA,Employed,63,15000
CA,Employed,182,30000
PA,Employed,67,6500
,Not available,,7000
GA,Employed,184,14500
OH,Employed,253,2000
CA,Full-time,143,1000
VA,Employed,17,7500
FL,Employed,11,15000
MA,Employed,297,12000
MS,Full-time,183,5000
CA,Employed,123,7500
IA,Not available,,7500
CA,Employed,63,12900
VA,Employed,135,3000
CA,Employed,59,14500
NY,Employed,177,15000
CA,Employed,86,5000
CA,Employed,36,8000
LA,Employed,71,10000
GA,Self-employed,100,15000
MA,Employed,270,15000
WI,Full-time,115,2000
NY,Employed,21,15000
CA,Employed,35,7500
NY,Employed,87,2000
AL,Employed,40,10000
MD,Employed,52,4000
CA,Part-time,1,4000
FL,Employed,50,7000
OH,Full-time,47,3500
,Not available,,10000
FL,Employed,266,4500
OR,Full-time,227,1000
OH,Employed,51,10000
CA,Employed,115,4000
CA,Employed,43,9000
TX,Employed,9,13250
NJ,Employed,47,3000
AL,Other,120,15000
VA,Employed,81,11000
MI,Full-time,49,19750
CT,Employed,26,4000
NY,Employed,69,10000
IL,Full-time,4,7000
CT,Employed,235,7500
FL,Employed,77,10000
NY,Self-employed,22,3200
TX,Other,80,15000
,Full-time,79,6500
GA,Other,94,3000
GA,Other,110,10000
CA,Employed,5,8000
TX,Full-time,5,10000
MI,Full-time,41,9950
MA,Full-time,14,6100
MO,Employed,203,10000
CA,Not available,,6000
PA,Self-employed,42,15000
CT,Employed,111,4000
MN,Employed,7,8000
TX,Full-time,95,3000
NV,Full-time,89,15000
IA,Full-time,64,1600
MA,Self-employed,335,7500
RI,Self-employed,33,10000
MO,Full-time,8,6500
VA,Full-time,175,20000
MN,Employed,88,2500
CA,Employed,79,5500
FL,Employed,165,4000
CA,Employed,59,20000
TX,Not available,,1500
NY,Other,65,3000
IL,Employed,33,4000
SC,Full-time,34,5000
TX,Employed,155,17000
NY,Employed,88,4000
VA,Employed,212,10000
NH,Full-time,90,11000
MN,Full-time,41,4500
UT,Full-time,3,7000
PA,Employed,108,6000
NC,Full-time,16,11000
NY,Employed,81,7000
WA,Full-time,151,3000
FL,Employed,5,15000
CA,Employed,21,3500
,Not available,,4500
FL,Full-time,132,1000
CA,Employed,17,4000
DE,Employed,243,10000
NC,Other,160,10000
MN,Full-time,9,1250
AR,Full-time,163,5600
OK,Employed,100,15000
CA,Employed,111,30000
AR,Employed,47,3000
CA,Employed,231,11500
MA,Employed,97,5000
VA,Full-time,44,15000
PA,Employed,198,5300
WA,Full-time,72,10000
NV,Employed,201,10000
CA,Other,102,11000
MS,Employed,35,15000
MO,Full-time,29,1000
WA,Full-time,165,12400
PA,Employed,259,4000
WA,Full-time,26,1000
NH,Self-employed,60,4657
NJ,Part-time,53,10000
CT,Employed,178,3000
IL,Employed,355,25000
FL,Other,456,3000
IL,Employed,142,15000
CA,Self-employed,75,8200
NY,Employed,210,15000
OH,Full-time,28,1500
TX,Employed,60,4000
NV,Employed,30,10000
,Full-time,195,25000
GA,Self-employed,17,3000
MI,Full-time,146,5000
MA,Employed,11,4000
UT,Full-time,29,2500
FL,Employed,31,4000
TX,Employed,154,10000
VT,Employed,221,4000
MO,Full-time,11,2000
MD,Full-time,32,4500
UT,Not available,,1000
SC,Full-time,10,15000
OH,Employed,125,10000
MN,Employed,160,6500
MD,Employed,329,4000
CT,Employed,189,10000
NC,Employed,31,5000
MI,Other,84,10000
MD,Other,471,3000
MD,Full-time,3,8000
NM,Full-time,60,2000
AL,Employed,88,8000
,Full-time,135,9983
NV,Employed,35,4000
,Not available,,5000
IL,Full-time,10,2500
GA,Full-time,34,3100
CT,Employed,102,6000
TX,Employed,78,11500
MI,Full-time,47,6600
CA,Full-time,91,5000
CA,Self-employed,4,8000
MI,Employed,208,11000
NC,Full-time,31,9500
NJ,Employed,63,5000
GA,Full-time,208,13000
NJ,Full-time,52,3000
MA,Full-time,5,9999
TX,Full-time,53,2001
CA,Employed,4,15000
OH,Full-time,72,2000
AZ,Full-time,7,7500
GA,Full-time,2,5000
IN,Self-employed,75,4000
MS,Full-time,286,2000
IL,Full-time,37,2300
NC,Full-time,161,5200
GA,Full-time,240,6000
CT,Full-time,32,1200
OK,Employed,9,4000
HI,Full-time,63,25000
DC,Employed,139,5600
MI,Employed,198,10000
IL,Employed,184,10000
MD,Employed,1,10000
CA,Full-time,339,14000
CO,Full-time,58,1700
OH,Employed,49,15000
IN,Employed,60,3000
NJ,Employed,73,7500
GA,Employed,51,12000
CA,Employed,96,8500
IL,Employed,54,10000
AL,Full-time,32,4000
AL,Self-employed,112,9500
CA,Employed,109,4000
CA,Employed,9,4000
IN,Self-employed,81,13000
TX,Employed,4,4000
GA,Employed,156,15000
FL,Full-time,85,10000
FL,Employed,147,7500
CA,Employed,104,15000
CA,Employed,67,14000
NJ,Employed,250,4000
AR,Employed,317,15000
IL,Employed,9,2000
FL,Employed,105,3000
AZ,Self-employed,187,7000
NC,Not available,,6000
KY,Employed,3,2000
NY,Employed,366,7500
,Full-time,142,5000
TX,Employed,81,5500
CO,Employed,85,4000
NJ,Employed,80,12000
OR,Self-employed,24,15000
NJ,Full-time,179,6000
GA,Employed,374,10959
IL,Full-time,3,6000
PA,Employed,110,15000
GA,Employed,242,17000
TX,,,2000
MN,Employed,95,4500
AZ,Employed,108,25000
FL,Employed,12,25000
NY,Full-time,55,9000
CA,Employed,69,4000
WA,Employed,79,15000
FL,Full-time,38,1000
MD,Full-time,90,6500
OH,Full-time,311,10000
CA,Other,24,1300
TX,Employed,112,25000
VA,Full-time,146,7500
NM,Full-time,281,25000
MA,Employed,150,12000
MS,Full-time,67,10000
NY,Employed,14,4000
NJ,Employed,72,10000
GA,Full-time,84,6000
CA,Full-time,241,5000
NE,Employed,2,7000
PA,Employed,182,7000
,Full-time,141,2400
CO,Self-employed,131,4000
NY,Employed,156,15000
NC,Employed,398,11000
KY,Employed,5,4000
OK,Employed,157,3000
,Full-time,25,9100
IL,Employed,339,2000
,Not available,,15000
IL,Employed,32,4000
IN,Employed,225,15000
MD,Employed,374,15000
,Not available,,5000
CA,Full-time,151,3000
AL,Employed,230,15000
NJ,Employed,30,3000
OH,Full-time,54,4900
SC,Employed,49,10000
TX,Full-time,294,5000
CA,Employed,84,9000
MI,Full-time,99,10000
FL,Employed,5,3300
SC,Employed,14,17000
IA,Full-time,7,1500
GA,Employed,54,10000
MI,Full-time,24,5000
IL,Employed,90,2000
CT,Self-employed,47,10000
WA,Employed,54,7000
MA,Employed,312,10000
TN,Other,57,2500
TX,Other,23,8000
WA,Employed,57,35000
,Full-time,96,2000
CA,Employed,78,20000
CA,Employed,9,15000
TX,Not available,,14000
AZ,Employed,92,11000
FL,Employed,114,8000
OH,Employed,317,10000
ID,Full-time,26,3000
CA,Full-time,23,14000
MN,Full-time,126,4000
ID,Employed,144,15000
CA,Full-time,30,2600
IL,Employed,17,7500
MD,Full-time,26,1200
PA,Employed,37,6000
FL,Employed,102,10000
NE,Other,0,10000
MI,Other,94,10000
,Full-time,21,2550
MO,Employed,9,7500
FL,Employed,90,9000
MI,Not available,,4500
GA,Employed,26,7500
MS,Employed,163,7000
CA,Employed,274,15000
TX,Employed,36,4000
NY,Employed,91,10000
MI,Self-employed,15,2300
CT,Employed,95,25000
CT,Employed,112,2000
MD,Employed,322,13000
,Full-time,18,2400
IL,Employed,98,4000
AL,Employed,24,8000
MI,Employed,30,13000
,Full-time,66,20000
